keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,Tier,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier2,,,Roster Position
,93784-56250:Terry McLaurin,93784-56250,WR,Terry,Terry McLaurin,McLaurin,,4.099999905,1,6400,WAS@DEN,WAS,DEN,,,,,,WR/FLEX
,93784-93541:Javonte Williams,93784-93541,RB,Javonte,Javonte Williams,Williams,,7.699999809,1,6400,WAS@DEN,DEN,WAS,,,,,,RB/FLEX
,93784-21948:Ryan Tannehill,93784-21948,QB,Ryan,Ryan Tannehill,Tannehill,,5.420000076,1,6400,LAC@TEN,TEN,LAC,,,,,,QB
,93784-87691:Malik Willis,93784-87691,QB,Malik,Malik Willis,Willis,,3.191428593,7,6400,LAC@TEN,TEN,LAC,,,,,,QB
,93784-40687:James Conner,93784-40687,RB,James,James Conner,Conner,,9.5,1,6400,NYG@ARI,ARI,NYG,,,,,,RB/FLEX
,93784-169776:Christian Watson,93784-169776,WR,Christian,Christian Watson,Watson,,10.25714329,14,6400,GB@ATL,GB,ATL,Q,Hamstring,,,,WR/FLEX
x,93784-94370:Romeo Doubs,93784-94370,WR,Romeo,Romeo Doubs,Doubs,3,16.60000038,1,6300,GB@ATL,GB,ATL,,,,,,WR/FLEX
,93784-55635:Chris Godwin,93784-55635,WR,Chris,Chris Godwin,Godwin,,7.599999905,1,6300,CHI@TB,TB,CHI,,,,,,WR/FLEX
x,93784-41305:Zay Jones,93784-41305,WR,Zay,Zay Jones,Jones,3,14,1,6300,KC@JAC,JAC,KC,,,,,,WR/FLEX
,93784-90813:Clayton Tune,93784-90813,QB,Clayton,Clayton Tune,Tune,,,,6300,NYG@ARI,ARI,NYG,,,,,,QB
,93784-64576:Damien Harris,93784-64576,RB,Damien,Damien Harris,Harris,,2.900000095,1,6300,LV@BUF,BUF,LV,,,,,,RB/FLEX
,93784-40407:Joshua Dobbs,93784-40407,QB,Joshua,Joshua Dobbs,Dobbs,,0.980000019,1,6300,NYG@ARI,ARI,NYG,,,,,,QB
x,93784-73273:David Montgomery,93784-73273,RB,David,David Montgomery,Montgomery,5,13.39999962,1,6300,SEA@DET,DET,SEA,,,,,,RB/FLEX
x,93784-91872:Joshua Kelley,93784-91872,RB,Joshua,Joshua Kelley,Kelley,4,15.10000038,1,6300,LAC@TEN,LAC,TEN,,,,,,RB/FLEX
,93784-53331:Taylor Heinicke,93784-53331,QB,Taylor,Taylor Heinicke,Heinicke,,13.55111101,9,6200,GB@ATL,ATL,GB,,,,,,QB
,93784-90406:Zach Wilson,93784-90406,QB,Zach,Zach Wilson,Wilson,,9.199999809,1,6200,NYJ@DAL,NYJ,DAL,,,,,,QB
,93784-86687:Marquise Brown,93784-86687,WR,Marquise,Marquise Brown,Brown,,7.199999809,1,6200,NYG@ARI,ARI,NYG,,,,,,WR/FLEX
,93784-137902:Rachaad White,93784-137902,RB,Rachaad,Rachaad White,White,,5.900000095,1,6200,CHI@TB,TB,CHI,,,,,,RB/FLEX
x,93784-39793:George Kittle,93784-39793,TE,George,George Kittle,Kittle,5,3.400000095,1,6200,SF@LAR,SF,LAR,,,,,,TE/FLEX
,93784-93055:Isaiah Hodgins,93784-93055,WR,Isaiah,Isaiah Hodgins,Hodgins,,0.899999976,1,6200,NYG@ARI,NYG,ARI,,,,,,WR/FLEX
,93784-52451:Samaje Perine,93784-52451,RB,Samaje,Samaje Perine,Perine,,9.800000191,1,6200,WAS@DEN,DEN,WAS,,,,,,RB/FLEX
,93784-91419:Nico Collins,93784-91419,WR,Nico,Nico Collins,Collins,,11,1,6200,IND@HOU,HOU,IND,,,,,,WR/FLEX
,93784-30231:Jacoby Brissett,93784-30231,QB,Jacoby,Jacoby Brissett,Brissett,,12.47285679,14,6200,WAS@DEN,WAS,DEN,,,,,,QB
,93784-89628:Davis Mills,93784-89628,QB,Davis,Davis Mills,Mills,,13.10133362,15,6200,IND@HOU,HOU,IND,,,,,,QB
,93784-30761:Nathan Peterman,93784-30761,QB,Nathan,Nathan Peterman,Peterman,,3.086666743,3,6100,CHI@TB,CHI,TB,,,,,,QB
,93784-14377:Tyrod Taylor,93784-14377,QB,Tyrod,Tyrod Taylor,Taylor,,0.239999995,1,6100,NYG@ARI,NYG,ARI,,,,,,QB
,93784-63589:Sam Darnold,93784-63589,QB,Sam,Sam Darnold,Darnold,,-0.200000003,1,6100,SF@LAR,SF,LAR,,,,,,QB
,93784-86200:Sean Clifford,93784-86200,QB,Sean,Sean Clifford,Clifford,,0,1,6100,GB@ATL,GB,ATL,,,,,,QB
,93784-86229:Jahan Dotson,93784-86229,WR,Jahan,Jahan Dotson,Dotson,,6.5,1,6100,WAS@DEN,WAS,DEN,,,,,,WR/FLEX
,93784-70027:Zack Moss,93784-70027,RB,Zack,Zack Moss,Moss,,4.538461538,13,6100,IND@HOU,IND,HOU,,,,,,RB/FLEX
,93784-64051:Drew Lock,93784-64051,QB,Drew,Drew Lock,Lock,,,,6100,SEA@DET,SEA,DET,,,,,,QB
,93784-27986:C.J. Beathard,93784-27986,QB,C.J.,C.J. Beathard,Beathard,,0,4,6100,KC@JAC,JAC,KC,,,,,,QB
,93784-103824:Easton Stick,93784-103824,QB,Easton,Easton Stick,Stick,,,,6100,LAC@TEN,LAC,TEN,,,,,,QB
,93784-91583:Stetson Bennett,93784-91583,QB,Stetson,Stetson Bennett,Bennett,,,,6100,SF@LAR,LAR,SF,IR,Illness,,,,QB
