keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
,93782-41562:Nick Mullens,93782-41562,QB,Nick,Nick Mullens,Mullens,3.190000057,,4,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-63967:Lucky Jackson,93782-63967,WR,Lucky,Lucky Jackson,Jackson,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-92256:Malik Knowles,93782-92256,WR,Malik,Malik Knowles,Knowles,,,,5000,MIN@PHI,MIN,PHI,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,93782-66402:Jack Driscoll,93782-66402,TE,Jack,Jack Driscoll,Driscoll,,,,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-86635:Charleston Rambo,93782-86635,WR,Charleston,Charleston Rambo,Rambo,,,,5000,MIN@PHI,PHI,MIN,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,93782-91504:Blake Proehl,93782-91504,WR,Blake,Blake Proehl,Proehl,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-40434:Greg Ward,93782-40434,WR,Greg,Greg Ward,Ward,,,,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-86646:Trey Sermon,93782-86646,RB,Trey,Trey Sermon,Sermon,1.899999976,,1,5000,MIN@PHI,PHI,MIN,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,93782-96254:Nick Muse,93782-96254,TE,Nick,Nick Muse,Muse,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-89214:Abram Smith,93782-89214,RB,Abram,Abram Smith,Smith,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
