QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-52442:Joe Mixon,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-66008:Diontae Johnson,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12554:Jacksonville Jaguars,,92765-63336:Joe Burrow,92765-63336,QB,Joe,Joe Burrow,Burrow,21.34100037,20,7900,CIN@CLE,CIN,CLE,,,,,,QB
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-90562:Brian Robinson Jr.,92765-112745:Drake London,92765-27050:Tyler Lockett,92765-64555:Calvin Ridley,92765-71705:Noah Fant,92765-66008:Diontae Johnson,92765-12554:Jacksonville Jaguars,,92765-136855:Bijan Robinson,92765-136855,RB,Bijan,Bijan Robinson,Robinson,,,7800,CAR@ATL,ATL,CAR,,,,,,RB/FLEX
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-52442:Joe Mixon,92765-112745:Drake London,92765-55635:Chris Godwin,92765-64555:Calvin Ridley,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12554:Jacksonville Jaguars,,92765-90572:Tua Tagovailoa,92765-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,18.3784614,13,7700,MIA@LAC,MIA,LAC,,,,,,QB
92765-89951:Trevor Lawrence,92765-87787:J.K. Dobbins,92765-90562:Brian Robinson Jr.,92765-112745:Drake London,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-57299:Gerald Everett,92765-66008:Diontae Johnson,92765-12550:Seattle Seahawks,,92765-73048:DK Metcalf,92765-73048,WR,DK,DK Metcalf,Metcalf,11.79999966,18,7700,LAR@SEA,SEA,LAR,,,,,,WR/FLEX
92765-69189:Justin Herbert,92765-87787:J.K. Dobbins,92765-89956:Travis Etienne Jr.,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-66008:Diontae Johnson,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12550:Seattle Seahawks,,92765-89956:Travis Etienne Jr.,92765-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,11.35263142,19,7700,JAC@IND,JAC,IND,,,,,,RB/FLEX
92765-26483:Geno Smith,92765-87787:J.K. Dobbins,92765-89956:Travis Etienne Jr.,92765-27050:Tyler Lockett,92765-60858:Christian Kirk,92765-73048:DK Metcalf,92765-57299:Gerald Everett,92765-90562:Brian Robinson Jr.,92765-12555:Baltimore Ravens,,92765-16606:DeAndre Hopkins,92765-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,13.29999966,9,7500,TEN@NO,TEN,NO,,,,,,WR/FLEX
92765-69189:Justin Herbert,92765-87787:J.K. Dobbins,92765-89956:Travis Etienne Jr.,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-73048:DK Metcalf,92765-57299:Gerald Everett,92765-90562:Brian Robinson Jr.,92765-12550:Seattle Seahawks,,92765-52442:Joe Mixon,92765-52442,RB,Joe,Joe Mixon,Mixon,13.44444444,18,7500,CIN@CLE,CIN,CLE,,,,,,RB/FLEX
92765-26483:Geno Smith,92765-87787:J.K. Dobbins,92765-89956:Travis Etienne Jr.,92765-112745:Drake London,92765-27050:Tyler Lockett,92765-60858:Christian Kirk,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12554:Jacksonville Jaguars,,92765-22038:Kirk Cousins,92765-22038,QB,Kirk,Kirk Cousins,Cousins,18.38333299,18,7500,TB@MIN,MIN,TB,,,,,,QB
92765-26483:Geno Smith,92765-52442:Joe Mixon,92765-89956:Travis Etienne Jr.,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-64555:Calvin Ridley,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12555:Baltimore Ravens,,92765-54879:Deshaun Watson,92765-54879,QB,Deshaun,Deshaun Watson,Watson,15.09666697,6,7400,CIN@CLE,CLE,CIN,,,,,,QB
92765-69189:Justin Herbert,92765-52442:Joe Mixon,92765-89956:Travis Etienne Jr.,92765-112745:Drake London,92765-55635:Chris Godwin,92765-66008:Diontae Johnson,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12552:Washington Commanders,,92765-89981:Tee Higgins,92765-89981,WR,Tee,Tee Higgins,Higgins,11.94444444,18,7400,CIN@CLE,CIN,CLE,,,,,,WR/FLEX
