keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
,84372-91468:Chase Garbers,84372-91468,QB,Chase,Chase Garbers,Garbers,,,5000,LV@LAR,LV,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-169937:Lance McCutcheon,84372-169937,WR,Lance,Lance McCutcheon,McCutcheon,0,1,5000,LV@LAR,LAR,LV,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
,84372-48344:Albert Wilson,84372-48344,WR,Albert,Albert Wilson,Wilson,3.55,10,5000,LV@LAR,LV,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-112601:Travis Koontz,84372-112601,TE,Travis,Travis Koontz,Koontz,,,5000,LV@LAR,LV,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-57565:Austin Walter,84372-57565,RB,Austin,Austin Walter,Walter,4.5,4,5000,LV@LAR,LV,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-69343:Landen Akers,84372-69343,WR,Landen,Landen Akers,Akers,,,5000,LV@LAR,LAR,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-71519:Dillon Stoner,84372-71519,WR,Dillon,Dillon Stoner,Stoner,,,5000,LV@LAR,LV,LAR,O,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,84372-87649:Jaquarii Roberson,84372-87649,WR,Jaquarii,Jaquarii Roberson,Roberson,,,5000,LV@LAR,LAR,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-63201:Xavier Jones,84372-63201,RB,Xavier,Xavier Jones,Jones,,,5000,LV@LAR,LAR,LV,Q,Achilles,,,,MVP - 1.5X Points/AnyFLEX
,84372-28643:Allen Robinson II,84372-28643,WR,Allen,Allen Robinson II,Robinson II,6.840000153,10,5000,LV@LAR,LAR,LV,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
,84372-79970:Cooper Kupp,84372-79970,WR,Cooper,Cooper Kupp,Kupp,18.21111043,9,5000,LV@LAR,LAR,LV,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
,84372-104421:Jesper Horsted,84372-104421,TE,Jesper,Jesper Horsted,Horsted,1.700000048,2,5000,LV@LAR,LV,LAR,O,Concussion,,,,MVP - 1.5X Points/AnyFLEX
,84372-32234:Malcolm Brown,84372-32234,RB,Malcolm,Malcolm Brown,Brown,2.23333327,3,5000,LV@LAR,LAR,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-70892:A.J. Rose Jr.,84372-70892,RB,A.J.,A.J. Rose Jr.,Rose Jr.,,,5000,LV@LAR,LAR,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-71662:DJ Turner,84372-71662,WR,DJ,DJ Turner,Turner,1,2,5000,LV@LAR,LV,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
x,84372-22898:Brandon Bolden,84372-22898,RB,Brandon,Brandon Bolden,Bolden,3.26666673,6,5000,LV@LAR,LV,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-63603:Jared Pinkney,84372-63603,WR,Jared,Jared Pinkney,Pinkney,,,5000,LV@LAR,LAR,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-86007:Tre Turner,84372-86007,WR,Tre,Tre Turner,Turner,,,5000,LV@LAR,LV,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-54007:Jacob Hollister,84372-54007,TE,Jacob,Jacob Hollister,Hollister,2.666666667,6,5000,LV@LAR,LV,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,84372-104054:Sincere McCormick,84372-104054,RB,Sincere,Sincere McCormick,McCormick,,,5000,LV@LAR,LV,LAR,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,84372-6654:Matthew Stafford,84372-6654,QB,Matthew,Matthew Stafford,Stafford,12.93111081,9,5000,LV@LAR,LAR,LV,IR,Neck,,,,MVP - 1.5X Points/AnyFLEX
