keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
,81393-66155:Michael Jacobson,81393-66155,TE,Michael,Michael Jacobson,Jacobson,,,,5000,IND@DEN,IND,DEN,,
,81393-147049:Drew Ogletree,81393-147049,TE,Drew,Drew Ogletree,Ogletree,,,,5000,IND@DEN,IND,DEN,IR,Knee - acl
,81393-79980:Eric Saubert,81393-79980,TE,Eric,Eric Saubert,Saubert,2.924999952,,4,5000,IND@DEN,DEN,IND,,
,81393-88430:CJ Verdell,81393-88430,RB,CJ,CJ Verdell,Verdell,,,,5000,IND@DEN,IND,DEN,,
,81393-95854:Montrell Washington,81393-95854,WR,Montrell,Montrell Washington,Washington,0.699999988,,4,5000,IND@DEN,DEN,IND,,
,81393-64242:Keke Coutee,81393-64242,WR,Keke,Keke Coutee,Coutee,0,,1,5000,IND@DEN,IND,DEN,,
,81393-90483:Bernhard Raimann,81393-90483,TE,Bernhard,Bernhard Raimann,Raimann,,,,5000,IND@DEN,IND,DEN,,
,81393-91897:Ethan Fernea,81393-91897,WR,Ethan,Ethan Fernea,Fernea,,,,5000,IND@DEN,IND,DEN,,
,81393-69752:Jalen Virgil,81393-69752,WR,Jalen,Jalen Virgil,Virgil,,,,5000,IND@DEN,DEN,IND,,
,81393-64762:Nakia Griffin-Stewart,81393-64762,TE,Nakia,Nakia Griffin-Stewart,Griffin-Stewart,,,,5000,IND@DEN,IND,DEN,,
,81393-61693:Danny Pinter,81393-61693,TE,Danny,Danny Pinter,Pinter,6.699999809,,1,5000,IND@DEN,IND,DEN,,
,81393-88060:Lucas Havrisik,81393-88060,K,Lucas,Lucas Havrisik,Havrisik,,,,5000,IND@DEN,IND,DEN,,
